sku,name,category,price_cad,stock,restocked_on,discontinued
SKU-1050,linen lamp,Outdoor,185.47,78,2025-08-14,false
SKU-1051,oak chair,Kitchen,259.79,155,2025-04-14,true
SKU-1052,ceramic lamp,Office,261.83,146,2025-02-18,false
SKU-1053,oak tray,Kitchen,138.85,177,2025-06-11,true
SKU-1054,ceramic shelf,Office,148.03,86,2025-04-16,false
SKU-1055,walnut bowl,Outdoor,60.44,43,2025-07-17,true
SKU-1056,steel lamp,Kitchen,16.17,138,2025-05-13,true
SKU-1057,oak chair,Kitchen,31.33,29,2025-03-10,true
SKU-1058,walnut chair,Office,217.13,113,2025-06-14,true
SKU-1059,steel tray,Lighting,92.48,186,2025-08-13,false
SKU-1060,steel bowl,Office,134.85,150,2025-01-10,true
SKU-1061,oak chair,Office,133.67,88,2025-02-11,false
SKU-1062,steel shelf,Office,243.99,171,2025-07-12,false
SKU-1063,linen tray,Lighting,254.66,183,2025-08-14,true
SKU-1064,oak chair,Office,191.06,98,2025-02-15,true
SKU-1065,ceramic shelf,Lighting,130.78,4,2025-05-12,true
SKU-1066,walnut tray,Kitchen,103.48,13,2025-02-18,true
SKU-1067,ceramic tray,Office,287.75,2,2025-08-18,false
SKU-1068,oak lamp,Kitchen,101.06,38,2025-04-12,true
SKU-1069,linen lamp,Outdoor,233.03,98,2025-07-14,true
SKU-1070,steel chair,Lighting,228.93,123,2025-07-13,false
SKU-1071,linen bowl,Outdoor,117.16,111,2025-04-17,false
SKU-1072,linen lamp,Office,136.85,114,2025-03-14,false
SKU-1073,ceramic chair,Outdoor,187.09,36,2025-06-18,false
SKU-1074,walnut shelf,Lighting,64.91,212,2025-08-18,true
SKU-1075,ceramic tray,KITCHEN,$146.98,unknown,2/13/2025,Y
SKU-1076,linen shelf,Lighting,37.97,83,2025-06-12,false
SKU-1077,linen shelf,Lighting,27.76,68,2025-07-14,false
SKU-1078,steel chair,Kitchen,67.68,23,2025-07-17,true
SKU-1079,ceramic tray,Kitchen,187.99,105,2025-01-14,false
SKU-1080,steel lamp,Office,182.70,9,2025-04-16,true
SKU-1081,walnut tray,Office,287.70,200,2025-08-10,false
SKU-1082,linen tray,Lighting,68.28,80,2025-06-12,true
SKU-1083,steel tray,Lighting,163.49,177,2025-07-10,true
SKU-1084,oak tray,Office,11.97,194,2025-03-18,false
SKU-1085,steel lamp,Kitchen,150.70,61,2025-08-17,true
SKU-1086,walnut lamp,Outdoor,195.47,131,2025-08-15,false
SKU-1087,walnut shelf,Outdoor,199.07,207,2025-08-16,true
SKU-1088,oak tray,Lighting,194.18,122,2025-06-14,false
SKU-1089,oak lamp,Lighting,191.39,31,2025-05-18,false
SKU-1090,linen tray,Kitchen,100.20,1,2025-01-14,false
SKU-1091,steel shelf,Outdoor,35.66,174,2025-07-10,false
SKU-1092,oak bowl,Kitchen,307.64,67,2025-05-14,false
SKU-1093,oak tray,Kitchen,234.47,17,2025-03-15,true
SKU-1094,oak tray,Lighting,252.72,113,2025-05-13,false
SKU-1095,ceramic bowl,Lighting,258.44,173,2025-02-13,true
SKU-1096,steel shelf,Office,199.11,78,2025-05-12,true
SKU-1097,walnut lamp,Outdoor,206.76,101,2025-05-15,true
SKU-1098,steel shelf,Lighting,170.66,59,2025-02-15,false
SKU-1099,ceramic chair,Kitchen,150.99,9,2025-04-13,false
SKU-1100,oak lamp,Outdoor,197.27,60,2025-06-18,true
SKU-1101,linen shelf,Lighting,171.56,141,2025-01-14,false
SKU-1102,ceramic lamp,Kitchen,237.79,166,2025-08-14,false
SKU-1103,oak shelf,Kitchen,216.79,10,2025-02-17,false
SKU-1104,walnut chair,Outdoor,212.93,65,2025-05-16,true
SKU-1105,walnut lamp,LIGHTING,$278.08,unknown,8/25/2025,1
SKU-1106,linen shelf,LIGHTING,$31.20,unknown,8/17/2025,TRUE
SKU-1107,oak chair,Kitchen,196.51,215,2025-06-18,true
SKU-1108,ceramic tray,Kitchen,273.84,197,2025-07-14,true
SKU-1109,linen shelf,Office,74.29,137,2025-05-15,false
SKU-1110,steel bowl,Office,47.59,65,2025-05-11,false
SKU-1111,oak shelf,Lighting,283.92,24,2025-08-12,false
SKU-1112,ceramic bowl,Outdoor,230.08,54,2025-08-15,true
SKU-1113,ceramic tray,Kitchen,228.70,28,2025-06-15,false
SKU-1114,ceramic bowl,Outdoor,238.95,26,2025-06-14,true
SKU-1115,oak chair,Outdoor,196.08,174,2025-05-12,true
SKU-1116,linen lamp,Office,142.18,174,2025-08-13,false
SKU-1117,ceramic chair,OFFICE,$200.84,unknown,9/16/2025,TRUE
SKU-1118,walnut lamp,Outdoor,176.57,4,2025-02-17,false
SKU-1119,oak chair,KITCHEN,-1,79,2025-06-10,true
SKU-1120,oak lamp,Lighting,237.53,6,2025-07-13,true
SKU-1121,oak lamp,Kitchen,62.64,68,2025-02-16,false
SKU-1122,linen lamp,Office,196.17,218,2025-01-18,true
SKU-1123,ceramic shelf,Office,108.62,213,2025-08-15,false
SKU-1124,linen chair,Outdoor,29.39,114,2025-07-17,false
SKU-1125,linen shelf,Lighting,296.56,187,2025-02-13,false
SKU-1126,ceramic bowl,Lighting,291.81,161,2025-05-18,false
SKU-1127,steel lamp,Kitchen,150.03,186,2025-02-14,false
SKU-1128,steel bowl,Office,149.64,40,2025-02-11,true
SKU-1129,linen lamp,Lighting,78.13,218,2025-07-11,true
SKU-1130,ceramic shelf,Office,151.07,191,2025-08-17,false
SKU-1131,steel tray,Office,260.19,92,2025-02-17,true
SKU-1132,linen shelf,Kitchen,61.64,41,2025-03-16,true
SKU-1133,oak chair,Office,194.37,166,2025-03-15,true
SKU-1134,steel bowl,Office,235.70,138,2025-08-13,false
SKU-1135,oak lamp,Kitchen,136.77,34,2025-05-18,true
SKU-1136,walnut shelf,Outdoor,187.06,114,2025-04-10,false
SKU-1137,ceramic chair,Lighting,82.42,107,2025-01-13,true
SKU-1138,steel tray,Outdoor,28.14,109,2025-02-11,true
SKU-1139,walnut bowl,Office,11.27,111,2025-06-15,true
SKU-1011,ceramic bowl,Outdoor,192.78,86,2025-06-17,true
"SKU-1064 ",oak chair,Office,191.06,98,2025-02-15,true
